"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16690","test_client_switcher[chromium]","staging.tests","2026-04-08","broken","2026-04-08","","test_dashboards_menu","",""
"","24470","test_create_CMA_Report[chromium]","staging.tests","2026-04-08","passed","2026-04-08","","test_exploratory1","",""
"","6116","test_dashboard_navigation[chromium]","staging.tests","2026-04-08","failed","2026-04-08","","test_dashboards","",""
